SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 30-Aug-2019, 34.05, 34.05, 34.60, 33.55, 33.60, 33.75, 34.06, 10045, 3.42, 128, 7527, 74.93
21STCENMGM, EQ, 30-Aug-2019, 12.60, 12.60, 12.60, 12.35, 12.35, 12.35, 12.35, 101, 0.01, 2, 101, 100.00
3IINFOTECH, EQ, 30-Aug-2019, 1.75, 1.70, 1.75, 1.70, 1.70, 1.75, 1.72, 328778, 5.66, 312, 172205, 52.38
3MINDIA, EQ, 30-Aug-2019, 20424.45, 20405.00, 21000.00, 20175.00, 20202.00, 20233.45, 20449.96, 1743, 356.44, 789, 1138, 65.29
3PLAND, EQ, 30-Aug-2019, 6.00, 6.30, 6.30, 6.30, 6.30, 6.30, 6.30, 70, 0.00, 1, 70, 100.00
5PAISA, EQ, 30-Aug-2019, 134.00, 134.60, 137.55, 134.60, 136.05, 136.05, 136.17, 3699, 5.04, 109, 2527, 68.32
63MOONS, EQ, 30-Aug-2019, 114.65, 110.10, 117.00, 108.95, 109.50, 110.10, 111.45, 295387, 329.20, 4874, 112084, 37.94
762GS2039, GS, 30-Aug-2019, 100.00, 100.30, 100.30, 100.30, 100.30, 100.30, 100.30, 100, 0.10, 1, 100, 100.00
772GS2055, GS, 30-Aug-2019, 97.17, 102.00, 102.00, 102.00, 102.00, 102.00, 102.00, 100, 0.10, 1, 100, 100.00
8KMILES, EQ, 30-Aug-2019, 52.90, 53.20, 54.45, 50.30, 51.70, 52.20, 52.20, 88052, 45.97, 1156, 42581, 48.36
A2ZINFRA, EQ, 30-Aug-2019, 9.75, 9.75, 9.90, 9.50, 9.60, 9.55, 9.66, 145859, 14.09, 364, 94045, 64.48
AARON, SM, 30-Aug-2019, 47.90, 45.00, 47.45, 45.00, 47.45, 47.45, 46.23, 6600, 3.05, 2, 3300, 50.00
AARTIDRUGS, EQ, 30-Aug-2019, 459.95, 462.85, 469.00, 453.05, 463.00, 465.45, 460.74, 2913, 13.42, 414, 1592, 54.65
AARTIIND, EQ, 30-Aug-2019, 1585.80, 1590.00, 1608.00, 1557.00, 1600.00, 1591.50, 1577.34, 57025, 899.48, 6601, 36338, 63.72
AARVEEDEN, EQ, 30-Aug-2019, 13.70, 13.15, 14.60, 12.25, 13.75, 13.15, 13.17, 8923, 1.18, 146, 6558, 73.50
AAVAS, EQ, 30-Aug-2019, 1500.95, 1514.85, 1524.40, 1482.00, 1502.00, 1490.85, 1493.22, 11655, 174.03, 3209, 7683, 65.92
ABAN, EQ, 30-Aug-2019, 24.10, 24.60, 24.80, 22.90, 23.60, 23.65, 23.41, 60327, 14.12, 569, 32987, 54.68
ABB, EQ, 30-Aug-2019, 1332.30, 1336.00, 1354.00, 1327.05, 1337.00, 1338.45, 1340.09, 25835, 346.21, 2110, 7626, 29.52
ABBOTINDIA, EQ, 30-Aug-2019, 9090.50, 9125.00, 9174.00, 9055.15, 9160.00, 9148.60, 9140.68, 4001, 365.72, 702, 3054, 76.33
ABCAPITAL, EQ, 30-Aug-2019, 88.65, 89.05, 90.00, 88.00, 89.10, 89.30, 88.68, 681544, 604.42, 6701, 331949, 48.71
ABFRL, EQ, 30-Aug-2019, 189.65, 190.00, 191.50, 188.45, 189.50, 189.55, 189.79, 195226, 370.53, 4298, 118718, 60.81
ABSLNN50ET, EQ, 30-Aug-2019, 259.72, 263.00, 265.18, 263.00, 265.18, 264.09, 264.09, 2, 0.01, 2, 0, 0.00
ACC, EQ, 30-Aug-2019, 1500.10, 1507.00, 1524.55, 1484.05, 1518.10, 1519.85, 1505.34, 814386, 12259.27, 47190, 230354, 28.29
ACCELYA, EQ, 30-Aug-2019, 757.60, 757.60, 793.95, 757.60, 793.00, 790.75, 782.05, 4375, 34.21, 531, 2857, 65.30
ACCORD, SM, 30-Aug-2019, 25.00, 23.00, 23.00, 23.00, 23.00, 23.00, 23.00, 2000, 0.46, 1, 2000, 100.00
ACCURACY, SM, 30-Aug-2019, 36.10, 36.30, 37.40, 35.00, 37.20, 37.20, 35.84, 16000, 5.73, 7, 9600, 60.00
ACE, EQ, 30-Aug-2019, 55.85, 57.00, 58.50, 55.50, 57.35, 57.55, 56.70, 126240, 71.58, 1160, 80030, 63.40
ADANIENT, EQ, 30-Aug-2019, 132.35, 132.40, 138.30, 132.15, 137.25, 137.35, 136.02, 7806183, 10617.88, 39392, 854064, 10.94
ADANIGAS, EQ, 30-Aug-2019, 143.85, 143.45, 144.40, 139.00, 139.95, 140.45, 140.69, 606027, 852.63, 6986, 364203, 60.10
ADANIGREEN, EQ, 30-Aug-2019, 43.40, 46.00, 47.85, 45.50, 45.75, 46.40, 46.51, 1922577, 894.17, 10562, 416528, 21.67
ADANIPORTS, EQ, 30-Aug-2019, 366.20, 368.45, 368.85, 359.40, 364.20, 365.70, 364.29, 2313806, 8428.93, 43386, 831576, 35.94
ADANIPOWER, EQ, 30-Aug-2019, 57.35, 57.60, 59.25, 57.20, 58.45, 58.40, 58.22, 7908205, 4604.50, 17235, 741140, 9.37
ADANITRANS, EQ, 30-Aug-2019, 236.10, 238.10, 239.95, 230.50, 232.55, 234.15, 233.60, 63858, 149.18, 2982, 30065, 47.08
ADFFOODS, EQ, 30-Aug-2019, 251.95, 252.70, 259.45, 251.00, 256.95, 256.25, 256.75, 20565, 52.80, 2180, 5078, 24.69
ADHUNIK, BE, 30-Aug-2019, 1.10, 1.15, 1.15, 1.05, 1.15, 1.10, 1.08, 27857, 0.30, 21, -, -
ADHUNIKIND, EQ, 30-Aug-2019, 87.85, 87.90, 88.80, 82.90, 83.95, 83.80, 86.67, 56928, 49.34, 538, 28910, 50.78
ADLABS, EQ, 30-Aug-2019, 3.60, 3.50, 3.60, 3.45, 3.45, 3.45, 3.50, 109629, 3.84, 165, 85563, 78.05
ADORWELD, EQ, 30-Aug-2019, 285.40, 287.00, 289.80, 280.70, 289.70, 285.10, 284.21, 3309, 9.40, 346, 2227, 67.30
ADROITINFO, BE, 30-Aug-2019, 9.65, 9.20, 10.00, 9.20, 9.20, 9.20, 9.28, 2230, 0.21, 4, -, -
ADSL, EQ, 30-Aug-2019, 13.45, 13.75, 14.10, 13.25, 13.50, 13.40, 13.62, 23688, 3.23, 90, 18813, 79.42
ADVANIHOTR, EQ, 30-Aug-2019, 51.65, 52.45, 55.00, 51.20, 53.00, 52.25, 52.69, 7085, 3.73, 361, 1693, 23.90
ADVENZYMES, EQ, 30-Aug-2019, 145.15, 148.90, 148.90, 146.15, 147.60, 147.60, 147.08, 83761, 123.19, 445, 77804, 92.89
AEGISCHEM, EQ, 30-Aug-2019, 188.90, 190.00, 191.75, 188.35, 189.75, 189.65, 190.89, 562895, 1074.49, 2960, 532250, 94.56
AFFLE, EQ, 30-Aug-2019, 822.45, 829.95, 849.00, 804.60, 840.00, 839.30, 824.38, 27978, 230.64, 1809, 13354, 47.73
AGARIND, EQ, 30-Aug-2019, 124.80, 122.15, 127.00, 121.00, 125.80, 124.85, 124.10, 4995, 6.20, 192, 1626, 32.55
