"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"20MICRONS","EQ","01-Jan-2018","         58.30","         58.95","         60.70","         57.90","         58.70","         58.75","         59.53","     156506","             9316661.05","       1527","      77974","         49.82"
"20MICRONS","EQ","02-Jan-2018","         58.75","         58.75","         60.55","         57.65","         58.00","         58.05","         58.59","     173946","            10190754.15","        994","     103765","         59.65"
"20MICRONS","EQ","03-Jan-2018","         58.05","         58.70","         60.50","         58.50","         59.50","         59.20","         59.30","     191320","            11345473.80","       1004","      93315","         48.77"
"20MICRONS","EQ","04-Jan-2018","         59.20","         59.45","         63.20","         58.60","         62.75","         62.60","         61.64","     812025","            50057113.35","       5189","     325301","         40.06"
"20MICRONS","EQ","05-Jan-2018","         62.60","         64.80","         67.00","         63.00","         63.25","         63.60","         65.20","    1129498","            73646779.85","       7645","     537531","         47.59"
"20MICRONS","EQ","08-Jan-2018","         63.60","         64.00","         64.25","         61.05","         62.25","         61.65","         62.31","     298210","            18580153.50","       2177","     174440","         58.50"
"20MICRONS","EQ","09-Jan-2018","         61.65","         62.15","         64.70","         60.00","         62.35","         62.50","         62.80","     509757","            32010514.30","       2964","     191480","         37.56"
"20MICRONS","EQ","10-Jan-2018","         62.50","         62.60","         63.30","         60.25","         60.65","         60.95","         61.58","     183357","            11290482.45","       1370","     110040","         60.01"
"20MICRONS","EQ","11-Jan-2018","         60.95","         60.95","         62.50","         60.30","         60.70","         61.10","         61.29","     162283","             9945594.35","       1043","      92433","         56.96"
"20MICRONS","EQ","12-Jan-2018","         61.10","         61.70","         62.30","         57.00","         60.30","         59.80","         60.18","     227365","            13683355.75","       1779","     122942","         54.07"
"20MICRONS","EQ","15-Jan-2018","         59.80","         61.00","         61.60","         59.10","         59.25","         59.70","         60.55","     106711","             6461215.55","        959","      61105","         57.26"
"20MICRONS","EQ","16-Jan-2018","         59.70","         60.45","         60.45","         57.55","         57.90","         57.70","         58.44","     146439","             8558546.60","       1184","      88499","         60.43"
"20MICRONS","EQ","17-Jan-2018","         57.70","         56.55","         57.65","         55.40","         57.50","         57.15","         56.63","     134450","             7614154.85","       1044","      61240","         45.55"
"20MICRONS","EQ","18-Jan-2018","         57.15","         60.00","         60.00","         55.05","         55.60","         55.70","         56.84","      98295","             5586625.20","        893","      55491","         56.45"
"20MICRONS","EQ","19-Jan-2018","         55.70","         56.20","         56.20","         54.70","         54.80","         55.00","         55.29","      76360","             4221582.10","        701","      43494","         56.96"
"20MICRONS","EQ","22-Jan-2018","         55.00","         55.75","         56.50","         54.55","         56.40","         55.85","         55.42","      83468","             4625852.05","        748","      40507","         48.53"
"20MICRONS","EQ","23-Jan-2018","         55.85","         56.05","         61.45","         56.05","         60.70","         60.55","         59.67","     552255","            32953162.05","       4791","     216033","         39.12"
"20MICRONS","EQ","24-Jan-2018","         60.55","         60.50","         60.50","         57.10","         57.60","         57.65","         58.29","     185310","            10801722.80","       1788","      80471","         43.43"
"20MICRONS","EQ","25-Jan-2018","         57.65","         57.45","         57.60","         56.15","         56.50","         56.40","         56.77","     102681","             5829539.05","        884","      53557","         52.16"
"20MICRONS","EQ","29-Jan-2018","         56.40","         57.20","         57.20","         53.20","         54.00","         53.80","         55.13","     128041","             7059118.85","       1382","      69609","         54.36"
"20MICRONS","EQ","30-Jan-2018","         53.80","         54.25","         54.25","         52.00","         52.40","         52.25","         52.76","      95717","             5050324.40","       1066","      55496","         57.98"
"20MICRONS","EQ","31-Jan-2018","         52.25","         52.25","         53.10","         52.00","         52.85","         52.75","         52.71","      75086","             3958037.05","        687","      39452","         52.54"
"20MICRONS","EQ","01-Feb-2018","         52.75","         53.00","         53.00","         50.50","         52.05","         52.15","         52.18","      53466","             2789881.45","        549","      27284","         51.03"
"20MICRONS","EQ","02-Feb-2018","         52.15","         51.55","         55.00","         47.75","         49.35","         48.55","         50.04","     160014","             8007351.65","       1555","      84046","         52.52"
"20MICRONS","EQ","05-Feb-2018","         48.55","         48.55","         48.55","         45.25","         48.45","         48.00","         46.64","     162412","             7574750.80","       1523","      72244","         44.48"
"20MICRONS","EQ","06-Feb-2018","         48.00","         45.20","         47.10","         42.55","         45.20","         45.20","         45.34","     124918","             5663490.20","       1032","      70093","         56.11"
"20MICRONS","EQ","07-Feb-2018","         45.20","         46.50","         49.90","         46.50","         48.90","         49.15","         48.37","     135291","             6544041.75","       1264","      61526","         45.48"
"20MICRONS","EQ","08-Feb-2018","         49.15","         49.60","         52.35","         49.50","         51.85","         52.00","         51.75","     106310","             5501709.25","        974","      57548","         54.13"
"20MICRONS","EQ","09-Feb-2018","         52.00","         50.90","         57.50","         48.90","         53.40","         54.00","         52.33","     115083","             6022103.55","       1081","      51211","         44.50"
"20MICRONS","EQ","12-Feb-2018","         54.00","         53.65","         56.95","         53.50","         54.40","         54.35","         54.74","     112968","             6184322.65","       1171","      63829","         56.50"
"20MICRONS","EQ","14-Feb-2018","         54.35","         56.15","         57.05","         54.45","         54.55","         55.10","         55.71","     135961","             7574213.65","       1287","      82266","         60.51"
"20MICRONS","EQ","15-Feb-2018","         55.10","         55.50","         57.40","         53.20","         54.30","         53.95","         55.84","     244428","            13648038.40","       2038","      92101","         37.68"
"20MICRONS","EQ","16-Feb-2018","         53.95","         54.30","         54.35","         51.55","         52.30","         52.15","         52.73","      79203","             4176274.35","        902","      44800","         56.56"
"20MICRONS","EQ","19-Feb-2018","         52.15","         53.00","         53.00","         50.00","         50.40","         50.25","         50.70","      71043","             3601897.40","        812","      34876","         49.09"
"20MICRONS","EQ","20-Feb-2018","         50.25","         50.40","         52.00","         50.20","         51.65","         51.00","         50.89","      49685","             2528717.90","        502","      28128","         56.61"
"20MICRONS","EQ","21-Feb-2018","         51.00","         51.75","         52.00","         50.05","         50.45","         50.35","         50.89","      46224","             2352357.05","        554","      24176","         52.30"
"20MICRONS","EQ","22-Feb-2018","         50.35","         50.35","         51.35","         49.00","         49.60","         50.25","         50.42","      43080","             2172289.95","        659","      18697","         43.40"
"20MICRONS","EQ","23-Feb-2018","         50.25","         50.80","         53.00","         49.50","         51.95","         51.85","         51.59","     238066","            12282528.80","       1696","     121161","         50.89"
"20MICRONS","EQ","26-Feb-2018","         51.85","         53.80","         53.95","         50.20","         51.00","         50.85","         52.26","     638176","            33349505.30","       3079","     312167","         48.92"
"20MICRONS","EQ","27-Feb-2018","         50.85","         51.35","         52.30","         50.00","         50.50","         50.60","         51.11","     103016","             5265224.05","        949","      54742","         53.14"
"20MICRONS","EQ","28-Feb-2018","         50.60","         50.50","         51.50","         50.25","         50.70","         50.50","         50.80","      59193","             3007118.65","        665","      29298","         49.50"
"20MICRONS","EQ","01-Mar-2018","         50.50","         51.60","         51.60","         50.00","         50.00","         50.15","         50.45","      48909","             2467571.15","        583","      24201","         49.48"
"20MICRONS","EQ","05-Mar-2018","         50.15","         50.15","         50.70","         48.60","         48.80","         48.70","         49.28","      58492","             2882330.25","        638","      40706","         69.59"
"20MICRONS","EQ","06-Mar-2018","         48.70","         49.00","         49.95","         47.05","         47.35","         47.20","         48.42","      81163","             3929972.40","        798","      48108","         59.27"
"20MICRONS","EQ","07-Mar-2018","         47.20","         47.35","         47.35","         45.00","         45.45","         45.15","         45.66","      80684","             3684024.10","        895","      46178","         57.23"
"20MICRONS","EQ","08-Mar-2018","         45.15","         45.65","         45.75","         44.40","         44.60","         44.75","         45.04","      81733","             3681567.80","        738","      43235","         52.90"
"20MICRONS","EQ","09-Mar-2018","         44.75","         45.00","         46.00","         42.30","         42.85","         42.55","         44.08","     105299","             4641535.75","        927","      64892","         61.63"
"20MICRONS","EQ","12-Mar-2018","         42.55","         44.65","         48.35","         41.10","         47.30","         46.85","         45.66","     507890","            23190923.25","       2996","     155607","         30.64"
"20MICRONS","EQ","13-Mar-2018","         46.85","         47.40","         53.75","         47.05","         51.05","         51.50","         51.29","     908151","            46576907.00","       6924","     275221","         30.31"
"20MICRONS","EQ","14-Mar-2018","         51.50","         51.00","         52.60","         49.70","         51.25","         51.20","         51.07","     205050","            10472093.20","       1717","      77624","         37.86"
"20MICRONS","EQ","15-Mar-2018","         51.20","         51.45","         53.45","         50.60","         51.75","         52.00","         52.32","     178321","             9328984.35","       1825","      79679","         44.68"
"20MICRONS","EQ","16-Mar-2018","         52.00","         51.75","         52.00","         50.50","         50.65","         50.65","         50.93","      68773","             3502793.35","        942","      29468","         42.85"
"20MICRONS","EQ","19-Mar-2018","         50.65","         51.35","         51.80","         48.30","         48.95","         49.00","         49.77","      67983","             3383407.35","        869","      35289","         51.91"
"20MICRONS","EQ","20-Mar-2018","         49.00","         48.10","         50.95","         47.00","         48.60","         48.70","         49.16","     193175","             9496916.90","       1987","      56887","         29.45"
"20MICRONS","EQ","21-Mar-2018","         48.70","         49.15","         50.55","         48.00","         48.70","         48.45","         49.23","     111694","             5498588.45","       1083","      52261","         46.79"
