"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"21STCENMGM","BE","11-Jan-2018","         32.75","         33.40","         33.40","         33.40","         33.40","         33.40","         33.40","        157","                5243.80","          1","-","-"
"21STCENMGM","BE","12-Jan-2018","         33.40","         34.05","         34.05","         34.05","         34.05","         34.05","         34.05","        360","               12258.00","          3","-","-"
"21STCENMGM","BE","15-Jan-2018","         34.05","         34.70","         34.70","         34.70","         34.70","         34.70","         34.70","        795","               27586.50","          7","-","-"
"21STCENMGM","BE","16-Jan-2018","         34.70","         35.35","         35.35","         35.35","         35.35","         35.35","         35.35","       2735","               96682.25","          6","-","-"
"21STCENMGM","BE","17-Jan-2018","         35.35","         36.05","         36.05","         35.40","         36.05","         36.05","         36.02","      56033","             2018574.35","         75","-","-"
"21STCENMGM","BE","18-Jan-2018","         36.05","         36.75","         36.75","         36.70","         36.75","         36.75","         36.74","       7957","              292334.75","         13","-","-"
"21STCENMGM","BE","19-Jan-2018","         36.75","         36.90","         37.45","         36.75","         37.45","         37.45","         37.24","      21575","              803518.75","         40","-","-"
"21STCENMGM","BE","22-Jan-2018","         37.45","         38.15","         38.15","         37.45","         38.15","         38.15","         38.12","       9893","              377127.70","         23","-","-"
"21STCENMGM","BE","23-Jan-2018","         38.15","         38.90","         38.90","         38.20","         38.20","         38.40","         38.59","       5100","              196797.00","         31","-","-"
"21STCENMGM","BE","24-Jan-2018","         38.40","         38.30","         39.15","         38.20","         38.90","         38.75","         38.61","      13766","              531534.00","         35","-","-"
"21STCENMGM","BE","25-Jan-2018","         38.75","         39.00","         39.50","         38.15","         38.30","         38.35","         38.70","       2833","              109626.50","         15","-","-"
"21STCENMGM","BE","29-Jan-2018","         38.35","         38.75","         39.10","         38.75","         39.10","         39.10","         38.79","      13465","              522341.50","         15","-","-"
"21STCENMGM","BE","30-Jan-2018","         39.10","         39.85","         39.85","         38.35","         39.80","         39.50","         39.51","      14722","              581605.60","         14","-","-"
"21STCENMGM","BE","31-Jan-2018","         39.50","         39.50","         40.20","         38.75","         38.75","         39.45","         39.65","      57626","             2285013.05","         19","-","-"
"21STCENMGM","BE","01-Feb-2018","         39.45","         39.40","         40.20","         39.40","         40.20","         40.20","         40.01","       4128","              165145.60","         18","-","-"
"21STCENMGM","BE","02-Feb-2018","         40.20","         40.20","         40.20","         39.40","         40.00","         40.00","         39.77","       2646","              105243.75","         23","-","-"
"21STCENMGM","BE","05-Feb-2018","         40.00","         39.60","         39.60","         39.60","         39.60","         39.60","         39.60","        200","                7920.00","          1","-","-"
"21STCENMGM","BE","06-Feb-2018","         39.60","         38.85","         38.85","         38.85","         38.85","         38.85","         38.85","        100","                3885.00","          1","-","-"
"21STCENMGM","BE","07-Feb-2018","         38.85","         38.10","         38.10","         38.10","         38.10","         38.10","         38.10","       1248","               47548.80","         11","-","-"
"21STCENMGM","BE","08-Feb-2018","         38.10","         38.10","         38.85","         38.10","         38.85","         38.85","         38.65","        763","               29492.55","          6","-","-"
"21STCENMGM","BE","09-Feb-2018","         38.85","         39.60","         39.60","         39.60","         39.60","         39.60","         39.60","       1989","               78764.40","          8","-","-"
"21STCENMGM","BE","12-Feb-2018","         39.60","         40.35","         40.35","         40.35","         40.35","         40.35","         40.35","        170","                6859.50","          4","-","-"
"21STCENMGM","BE","14-Feb-2018","         40.35","         41.15","         41.15","         41.15","         41.15","         41.15","         41.15","        338","               13908.70","          5","-","-"
"21STCENMGM","BE","15-Feb-2018","         41.15","         41.95","         41.95","         41.50","         41.95","         41.95","         41.85","      20241","              847109.60","         31","-","-"
"21STCENMGM","BE","16-Feb-2018","         41.95","         42.75","         42.75","         42.75","         42.75","         42.75","         42.75","       1585","               67758.75","          8","-","-"
"21STCENMGM","BE","19-Feb-2018","         42.75","         43.60","         43.60","         42.75","         43.45","         43.45","         43.41","      13429","              582910.05","         35","-","-"
"21STCENMGM","BE","20-Feb-2018","         43.45","         44.00","         44.30","         44.00","         44.30","         44.30","         44.14","       5599","              247135.70","         15","-","-"
"21STCENMGM","BE","21-Feb-2018","         44.30","         45.15","         45.15","         43.45","         43.45","         43.45","         43.99","      10217","              449446.45","         36","-","-"
"21STCENMGM","BE","22-Feb-2018","         43.45","         42.60","         42.60","         42.60","         42.60","         42.60","         42.60","       1075","               45795.00","          5","-","-"
"21STCENMGM","BE","23-Feb-2018","         42.60","         41.75","         41.75","         41.75","         41.75","         41.75","         41.75","       2250","               93937.50","          5","-","-"
"21STCENMGM","BE","26-Feb-2018","         41.75","         40.95","         41.75","         40.95","         41.00","         41.00","         41.19","       6771","              278896.15","         25","-","-"
"21STCENMGM","BE","27-Feb-2018","         41.00","         41.50","         41.80","         40.20","         40.55","         40.55","         40.93","       2749","              112518.80","         12","-","-"
"21STCENMGM","BE","28-Feb-2018","         40.55","         39.75","         40.55","         39.75","         39.75","         39.75","         39.92","       2605","              103988.75","         10","-","-"
"21STCENMGM","BE","01-Mar-2018","         39.75","         39.75","         39.75","         39.00","         39.00","         39.00","         39.15","        249","                9748.50","          5","-","-"
"21STCENMGM","BE","05-Mar-2018","         39.00","         39.00","         39.50","         38.25","         39.50","         39.50","         38.62","       1574","               60792.50","          9","-","-"
