"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"3IINFOTECH","EQ","01-Jan-2018","          8.00","          8.40","          8.80","          8.30","          8.80","          8.80","          8.68","   14085506","           122307865.75","       7133","    6983618","         49.58"
"3IINFOTECH","EQ","02-Jan-2018","          8.80","          9.20","          9.20","          8.40","          8.40","          8.40","          8.82","   15500852","           136690216.60","       6417","    6930631","         44.71"
"3IINFOTECH","EQ","03-Jan-2018","          8.40","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","     899850","             7198800.00","        906","     874848","         97.22"
"3IINFOTECH","EQ","04-Jan-2018","          8.00","          7.60","          8.40","          7.60","          8.40","          8.40","          8.06","   60821732","           490084345.25","      16171","   21121056","         34.73"
"3IINFOTECH","EQ","05-Jan-2018","          8.40","          8.70","          8.80","          8.30","          8.80","          8.80","          8.65","   24010030","           207741155.15","       9146","    9425053","         39.25"
"3IINFOTECH","EQ","08-Jan-2018","          8.80","          8.90","          9.15","          8.55","          8.70","          8.75","          8.81","   19114665","           168415296.90","       7898","    8750006","         45.78"
"3IINFOTECH","EQ","09-Jan-2018","          8.75","          8.85","          8.85","          8.35","          8.35","          8.35","          8.47","   13662718","           115714916.85","       5280","    7185655","         52.59"
"3IINFOTECH","EQ","10-Jan-2018","          8.35","          8.40","          8.45","          7.95","          8.25","          8.35","          8.13","   22347473","           181664216.85","       6624","    6293121","         28.16"
"3IINFOTECH","EQ","11-Jan-2018","          8.35","          8.25","          8.75","          8.20","          8.75","          8.75","          8.65","   11538277","            99840863.40","       3983","    8229065","         71.32"
"3IINFOTECH","EQ","12-Jan-2018","          8.75","          9.00","          9.15","          8.55","          8.85","          9.00","          9.02","   35254482","           317883778.20","      15723","   15977172","         45.32"
"3IINFOTECH","EQ","15-Jan-2018","          9.00","          8.95","          8.95","          8.55","          8.55","          8.55","          8.61","   16587945","           142799212.60","       4771","    7795830","         47.00"
