"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"3MINDIA","EQ","01-Jan-2018","      19126.45","      18901.00","      19990.00","      18901.00","      19425.00","      19264.55","      19368.09","       2361","            45728057.70","        728","       1170","         49.56"
"3MINDIA","EQ","02-Jan-2018","      19264.55","      19424.00","      19600.00","      18800.00","      18900.00","      18904.05","      19166.60","       1833","            35132386.70","        868","       1042","         56.85"
"3MINDIA","EQ","03-Jan-2018","      18904.05","      18990.00","      19990.00","      18969.95","      19388.00","      19400.40","      19439.72","       4750","            92338646.65","       1379","       2676","         56.34"
"3MINDIA","EQ","04-Jan-2018","      19400.40","      19400.50","      19750.00","      19152.00","      19500.00","      19449.80","      19534.46","       1597","            31196526.85","        672","        863","         54.04"
"3MINDIA","EQ","05-Jan-2018","      19449.80","      19440.00","      19600.05","      19255.35","      19350.00","      19367.50","      19441.74","        867","            16855986.45","        407","        517","         59.63"
"3MINDIA","EQ","08-Jan-2018","      19367.50","      19461.00","      19650.00","      19100.00","      19200.00","      19194.05","      19304.44","       2200","            42469758.10","        688","       1681","         76.41"
"3MINDIA","EQ","09-Jan-2018","      19194.05","      19300.00","      19300.05","      18874.60","      18899.00","      18967.95","      19064.58","       1203","            22934688.45","        405","        850","         70.66"
"3MINDIA","EQ","10-Jan-2018","      18967.95","      18967.95","      19089.95","      18300.40","      18500.00","      18468.55","      18634.47","       2542","            47368818.90","        899","       1891","         74.39"
"3MINDIA","EQ","11-Jan-2018","      18468.55","      18568.65","      18568.65","      17993.15","      18099.95","      18091.30","      18191.60","       2864","            52100742.45","        867","       2186","         76.33"
"3MINDIA","EQ","12-Jan-2018","      18091.30","      18091.30","      18400.00","      17811.00","      17895.00","      17853.80","      18125.17","       2149","            38950992.50","        674","        877","         40.81"
"3MINDIA","EQ","15-Jan-2018","      17853.80","      18095.00","      18100.05","      17922.00","      17940.00","      17943.35","      17983.66","        911","            16383111.95","        312","        707","         77.61"
"3MINDIA","EQ","16-Jan-2018","      17943.35","      17900.05","      18200.00","      17551.00","      17725.10","      17756.25","      17895.75","       1342","            24016093.65","        538","        851","         63.41"
"3MINDIA","EQ","17-Jan-2018","      17756.25","      17700.05","      18180.00","      17678.00","      17944.00","      18008.40","      17959.51","       1151","            20671398.50","        348","        861","         74.80"
"3MINDIA","EQ","18-Jan-2018","      18008.40","      18008.40","      18199.95","      17830.00","      18110.00","      18105.35","      18078.72","       1208","            21839098.30","        429","        741","         61.34"
"3MINDIA","EQ","19-Jan-2018","      18105.35","      18188.00","      18248.00","      18100.00","      18220.00","      18182.15","      18176.55","        659","            11978348.95","        251","        429","         65.10"
"3MINDIA","EQ","22-Jan-2018","      18182.15","      18139.00","      19070.00","      18000.10","      19000.00","      18806.20","      18438.73","       1969","            36305866.60","        718","       1293","         65.67"
"3MINDIA","EQ","23-Jan-2018","      18806.20","      19196.80","      19369.95","      18500.10","      18919.00","      18721.85","      18780.90","        837","            15719614.30","        557","        483","         57.71"
"3MINDIA","EQ","24-Jan-2018","      18721.85","      18913.55","      18987.30","      18701.00","      18710.00","      18703.00","      18826.69","       5085","            95733731.25","        563","       4881","         95.99"
"3MINDIA","EQ","25-Jan-2018","      18703.00","      18892.00","      18999.00","      18624.55","      18825.00","      18854.80","      18842.84","       1857","            34991156.15","        377","       1688","         90.90"
"3MINDIA","EQ","29-Jan-2018","      18854.80","      18854.90","      19297.90","      18810.00","      18891.25","      18979.00","      18975.78","       2575","            48862626.50","        812","       2022","         78.52"
"3MINDIA","EQ","30-Jan-2018","      18979.00","      18849.95","      19000.00","      18732.60","      18849.90","      18805.10","      18837.83","       4457","            83960226.15","        839","       4166","         93.47"
"3MINDIA","EQ","31-Jan-2018","      18805.10","      18875.00","      18875.00","      18657.00","      18800.00","      18796.15","      18796.43","       8501","           159788468.45","        548","       8076","         95.00"
