"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"3PLAND","EQ","04-May-2018","         14.00","         14.00","         15.00","         12.30","         13.95","         13.85","         13.58","       6083","               82627.90","         65","       4076","         67.01"
"3PLAND","EQ","07-May-2018","         13.85","         13.20","         14.90","         12.55","         14.85","         14.85","         14.21","       7071","              100448.45","         30","       5957","         84.25"
"3PLAND","EQ","08-May-2018","         14.85","         14.50","         14.65","         13.65","         13.85","         14.00","         13.98","       2002","               27993.80","         36","       1950","         97.40"
"3PLAND","EQ","09-May-2018","         14.00","         13.20","         14.30","         13.20","         14.05","         14.15","         14.06","        634","                8912.80","         19","        612","         96.53"
"3PLAND","EQ","10-May-2018","         14.15","         14.25","         14.25","         14.00","         14.00","         14.00","         14.09","       1341","               18891.25","          9","       1340","         99.93"
"3PLAND","EQ","11-May-2018","         14.00","         14.00","         14.00","         13.80","         14.00","         14.00","         13.88","        741","               10286.00","          9","        739","         99.73"
"3PLAND","EQ","14-May-2018","         14.00","         13.15","         14.50","         13.15","         13.50","         13.50","         13.40","       1987","               26634.20","         38","       1560","         78.51"
"3PLAND","EQ","15-May-2018","         13.50","         14.25","         14.25","         13.20","         13.20","         13.20","         13.25","        860","               11393.25","         17","        847","         98.49"
"3PLAND","EQ","16-May-2018","         13.20","         14.60","         14.90","         13.25","         13.30","         13.30","         13.53","        590","                7980.20","         19","        561","         95.08"
"3PLAND","EQ","17-May-2018","         13.30","         13.35","         14.30","         13.35","         13.40","         13.45","         13.55","       1974","               26751.60","         21","       1317","         66.72"
"3PLAND","EQ","18-May-2018","         13.45","         14.00","         14.15","         13.00","         13.00","         13.05","         13.15","       3292","               43274.60","         25","       3144","         95.50"
"3PLAND","EQ","21-May-2018","         13.05","         13.30","         13.80","         13.10","         13.30","         13.30","         13.40","       2472","               33133.80","         17","       2470","         99.92"
"3PLAND","EQ","22-May-2018","         13.30","         13.70","         14.00","         13.45","         14.00","         13.95","         13.81","       3700","               51085.20","         13","       2300","         62.16"
"3PLAND","EQ","23-May-2018","         13.95","         14.00","         14.25","         12.65","         12.75","         13.15","         13.26","       6339","               84050.75","         75","       3897","         61.48"
"3PLAND","EQ","24-May-2018","         13.15","         13.00","         13.60","         12.75","         13.20","         13.20","         13.10","        301","                3944.10","         19","        256","         85.05"
"3PLAND","EQ","25-May-2018","         13.20","         13.75","         14.40","         13.35","         13.80","         13.60","         13.83","       5848","               80886.15","         55","       3862","         66.04"
"3PLAND","EQ","28-May-2018","         13.60","         13.80","         13.90","         13.15","         13.50","         13.90","         13.88","        959","               13309.25","         21","        803","         83.73"
"3PLAND","EQ","29-May-2018","         13.90","         15.40","         15.40","         13.00","         14.20","         14.20","         13.45","        570","                7664.85","         24","        463","         81.23"
"3PLAND","EQ","30-May-2018","         14.20","         14.00","         14.00","         13.20","         13.40","         13.45","         13.61","        316","                4302.10","         14","        209","         66.14"
"3PLAND","EQ","31-May-2018","         13.45","         13.45","         13.75","         13.15","         13.75","         13.70","         13.50","       1127","               15209.70","         20","       1001","         88.82"
"3PLAND","EQ","01-Jun-2018","         13.70","         13.90","         14.50","         12.65","         14.05","         14.05","         14.23","      12482","              177619.75","         38","      12269","         98.29"
"3PLAND","EQ","04-Jun-2018","         14.05","         14.05","         14.05","         12.30","         12.50","         13.15","         13.22","        861","               11378.85","         13","        854","         99.19"
"3PLAND","EQ","05-Jun-2018","         13.15","         12.75","         14.00","         12.30","         14.00","         13.95","         13.92","      11825","              164584.40","         42","       9482","         80.19"
"3PLAND","EQ","06-Jun-2018","         13.95","         13.95","         14.25","         12.90","         14.25","         13.35","         13.57","       2375","               32226.70","         28","       1930","         81.26"
"3PLAND","EQ","07-Jun-2018","         13.35","         14.55","         14.55","         12.40","         13.25","         13.25","         13.26","       1505","               19963.20","         11","       1400","         93.02"
"3PLAND","EQ","08-Jun-2018","         13.25","         13.20","         13.90","         13.20","         13.30","         13.40","         13.29","       2546","               33841.55","         12","       2476","         97.25"
