"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"5PAISA","EQ","01-Jan-2018","        376.05","        383.00","        383.00","        357.25","        357.25","        357.45","        364.71","      32513","            11857975.55","        975","      23949","         73.66"
"5PAISA","EQ","02-Jan-2018","        357.45","        357.00","        364.80","        339.60","        339.60","        339.60","        345.43","      25196","             8703371.85","        617","      18967","         75.28"
"5PAISA","EQ","03-Jan-2018","        339.60","        325.60","        347.80","        325.60","        331.65","        332.50","        338.18","      34131","            11542420.95","        948","      18978","         55.60"
"5PAISA","EQ","04-Jan-2018","        332.50","        332.10","        348.65","        331.50","        339.20","        337.70","        338.18","      15178","             5132937.10","        555","       6907","         45.51"
"5PAISA","EQ","05-Jan-2018","        337.70","        345.95","        352.00","        327.00","        332.00","        330.70","        334.67","      20668","             6917049.70","        740","      10330","         49.98"
"5PAISA","EQ","08-Jan-2018","        330.70","        339.95","        347.20","        332.40","        347.20","        347.20","        344.33","      14044","             4835727.10","        272","      12587","         89.63"
"5PAISA","EQ","09-Jan-2018","        347.20","        364.55","        364.55","        352.00","        364.55","        364.55","        362.79","      45529","            16517394.65","        507","      24799","         54.47"
"5PAISA","EQ","10-Jan-2018","        364.55","        372.40","        372.40","        352.00","        352.50","        356.10","        361.52","      42475","            15355426.85","        839","      34402","         80.99"
"5PAISA","EQ","11-Jan-2018","        356.10","        360.00","        373.90","        350.00","        373.90","        373.90","        370.59","      45065","            16700843.75","        941","      29351","         65.13"
"5PAISA","EQ","12-Jan-2018","        373.90","        368.00","        369.10","        355.25","        358.95","        358.95","        361.68","      44908","            16242431.00","       1286","      22580","         50.28"
"5PAISA","EQ","15-Jan-2018","        358.95","        360.50","        364.00","        350.00","        357.00","        354.10","        354.61","      15094","             5352501.55","        511","       9980","         66.12"
