"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"63MOONS","EQ","01-Jan-2018","        118.60","        119.55","        124.40","        118.00","        119.20","        119.40","        121.46","     685352","            83244092.50","       6628","     202252","         29.51"
"63MOONS","EQ","02-Jan-2018","        119.40","        119.40","        121.70","        116.10","        117.85","        117.75","        118.47","     394363","            46720726.00","       4338","     162878","         41.30"
"63MOONS","EQ","03-Jan-2018","        117.75","        118.50","        123.50","        117.00","        119.60","        119.40","        120.44","     550904","            66350766.80","       5240","     149799","         27.19"
"63MOONS","EQ","04-Jan-2018","        119.40","        120.00","        121.45","        117.30","        117.60","        117.95","        119.15","     286030","            34080243.75","       3667","     104294","         36.46"
"63MOONS","EQ","05-Jan-2018","        117.95","        116.00","        121.90","        116.00","        119.00","        118.65","        119.85","     532162","            63777801.45","       5639","     165046","         31.01"
"63MOONS","EQ","08-Jan-2018","        118.65","        120.30","        122.90","        118.00","        119.35","        119.60","        120.50","     477727","            57564286.00","       5400","     151845","         31.78"
"63MOONS","EQ","09-Jan-2018","        119.60","        120.60","        120.65","        116.40","        116.70","        116.90","        118.35","     255445","            30232232.90","       3507","     133230","         52.16"
"63MOONS","EQ","10-Jan-2018","        116.90","        118.40","        118.55","        115.30","        115.80","        115.75","        116.52","     211675","            24663766.35","       2422","     117521","         55.52"
"63MOONS","EQ","11-Jan-2018","        115.75","        115.75","        119.20","        115.10","        117.00","        116.95","        117.18","     412009","            48281263.30","       3791","     119800","         29.08"
"63MOONS","EQ","12-Jan-2018","        116.95","        120.00","        120.00","        114.60","        116.30","        116.45","        117.92","     454490","            53592984.50","       4372","     178213","         39.21"
"63MOONS","EQ","15-Jan-2018","        116.45","        117.05","        121.50","        116.00","        116.50","        116.60","        118.44","     501534","            59404175.55","       4135","     135411","         27.00"
"63MOONS","EQ","16-Jan-2018","        116.60","        117.45","        117.50","        112.10","        112.90","        112.75","        114.50","     237590","            27203368.35","       2739","     105786","         44.52"
"63MOONS","EQ","17-Jan-2018","        112.75","        113.85","        114.90","        110.00","        111.85","        111.90","        112.33","     243439","            27345845.40","       2800","      88273","         36.26"
"63MOONS","EQ","18-Jan-2018","        111.90","        113.00","        117.75","        103.85","        106.50","        107.35","        112.71","     564220","            63594726.70","       5755","     177154","         31.40"
"63MOONS","EQ","19-Jan-2018","        107.35","        108.45","        109.70","        104.30","        105.85","        106.15","        106.87","     297648","            31808686.10","       3606","     107666","         36.17"
"63MOONS","EQ","22-Jan-2018","        106.15","        106.80","        108.00","        104.50","        104.90","        105.00","        105.93","     191941","            20332071.55","       2503","      76709","         39.96"
"63MOONS","EQ","23-Jan-2018","        105.00","        106.00","        107.80","        104.45","        104.85","        104.75","        106.01","     161056","            17072751.85","       2089","      60856","         37.79"
"63MOONS","EQ","24-Jan-2018","        104.75","        104.40","        123.00","        102.00","        118.45","        119.05","        117.43","    2899596","           340503491.65","      29885","     586227","         20.22"
"63MOONS","EQ","25-Jan-2018","        119.05","        119.00","        119.65","        112.10","        112.55","        112.80","        115.40","     593570","            68497932.85","       7230","     228189","         38.44"
"63MOONS","EQ","29-Jan-2018","        112.80","        114.20","        115.55","        107.00","        107.10","        107.60","        110.64","     236271","            26140492.75","       3450","     122156","         51.70"
"63MOONS","EQ","30-Jan-2018","        107.60","        107.50","        112.95","        105.75","        108.60","        107.95","        109.75","     402701","            44194814.45","       5726","      98184","         24.38"
"63MOONS","EQ","31-Jan-2018","        107.95","        108.00","        109.50","        104.00","        104.50","        104.80","        106.47","     233619","            24872411.15","       3323","     109966","         47.07"
"63MOONS","EQ","01-Feb-2018","        104.80","        105.65","        109.00","        100.70","        104.05","        103.45","        104.64","     324922","            34001319.40","       4657","     131478","         40.46"
"63MOONS","EQ","02-Feb-2018","        103.45","        100.00","        103.30","         94.00","         96.65","         97.00","         98.24","     457452","            44940060.35","       5051","     184042","         40.23"
"63MOONS","EQ","05-Feb-2018","         97.00","         96.00","         97.40","         90.00","         95.00","         94.70","         94.27","     374767","            35328375.45","       4427","     114135","         30.45"
"63MOONS","EQ","06-Feb-2018","         94.70","         86.10","         91.55","         86.05","         90.50","         90.35","         90.04","     313159","            28196852.85","       3734","     115726","         36.95"
"63MOONS","EQ","07-Feb-2018","         90.35","         92.00","         96.75","         92.00","         94.50","         94.85","         95.17","     281803","            26817959.70","       3428","      92465","         32.81"
"63MOONS","EQ","08-Feb-2018","         94.85","         94.00","        108.00","         94.00","        102.95","        103.10","        103.61","     825761","            85553312.15","       9614","     194373","         23.54"
"63MOONS","EQ","09-Feb-2018","        103.10","         97.00","        107.40","         97.00","        104.30","        104.30","        104.18","     529686","            55182369.60","       6822","     125578","         23.71"
"63MOONS","EQ","12-Feb-2018","        104.30","        106.25","        108.00","        105.00","        105.40","        105.40","        106.38","     262959","            27973604.85","       3627","     119662","         45.51"
"63MOONS","EQ","14-Feb-2018","        105.40","        107.50","        107.75","        100.15","        102.45","        102.50","        104.58","     223243","            23346025.25","       3161","      90099","         40.36"
"63MOONS","EQ","15-Feb-2018","        102.50","        102.90","        106.60","        101.50","        102.75","        102.50","        103.89","     278302","            28911838.25","       3439","     104763","         37.64"
"63MOONS","EQ","16-Feb-2018","        102.50","        101.05","        104.20","         90.00","         94.80","         95.00","         94.74","    1343715","           127301637.25","      14516","     253187","         18.84"
"63MOONS","EQ","19-Feb-2018","         95.00","         95.85","         99.80","         93.50","         95.60","         95.60","         96.59","     357691","            34550367.20","       4455","      86966","         24.31"
"63MOONS","EQ","20-Feb-2018","         95.60","         96.20","         97.80","         94.40","         94.55","         94.75","         95.64","     162048","            15497914.30","       2174","      64686","         39.92"
"63MOONS","EQ","21-Feb-2018","         94.75","         95.95","         96.65","         93.50","         93.65","         93.75","         94.79","     161186","            15278879.85","       1877","      72242","         44.82"
"63MOONS","EQ","22-Feb-2018","         93.75","         93.50","         96.55","         93.10","         93.70","         93.85","         94.32","     159650","            15057843.10","       2031","      61488","         38.51"
"63MOONS","EQ","23-Feb-2018","         93.85","         94.90","         95.70","         93.80","         94.20","         94.05","         94.54","     167723","            15856168.70","       1961","      81932","         48.85"
"63MOONS","EQ","26-Feb-2018","         94.05","         94.90","         97.25","         94.90","         95.45","         95.20","         95.89","     201944","            19363951.95","       2595","      93251","         46.18"
"63MOONS","EQ","27-Feb-2018","         95.20","         95.05","         96.70","         93.10","         93.15","         93.35","         94.09","     141266","            13292385.90","       1785","      74178","         52.51"
"63MOONS","EQ","28-Feb-2018","         93.35","         93.05","         95.50","         91.65","         93.70","         93.35","         93.80","     217335","            20385686.05","       2981","      68787","         31.65"
"63MOONS","EQ","01-Mar-2018","         93.35","         93.75","         96.50","         92.75","         92.90","         92.95","         94.64","     312472","            29572669.45","       3248","      68726","         21.99"
"63MOONS","EQ","05-Mar-2018","         92.95","         92.70","         93.90","         91.10","         91.25","         91.20","         92.12","     128508","            11838422.40","       1775","      66223","         51.53"
"63MOONS","EQ","06-Mar-2018","         91.20","         92.60","         93.00","         88.10","         88.40","         89.30","         90.91","     153311","            13937710.40","       1774","      74850","         48.82"
"63MOONS","EQ","07-Mar-2018","         89.30","         89.15","         90.00","         85.00","         85.50","         85.25","         86.28","     194817","            16807852.80","       2685","      89553","         45.97"
"63MOONS","EQ","08-Mar-2018","         85.25","         85.70","         87.00","         82.35","         83.00","         83.25","         84.11","     182608","            15358559.15","       2139","      81873","         44.84"
"63MOONS","EQ","09-Mar-2018","         83.25","         83.95","         83.95","         80.05","         80.95","         80.80","         81.75","     167231","            13670507.85","       2076","      79527","         47.56"
"63MOONS","EQ","12-Mar-2018","         80.80","         83.50","         83.50","         79.10","         79.80","         79.75","         80.49","     126936","            10217358.45","       1866","      54971","         43.31"
"63MOONS","EQ","13-Mar-2018","         79.75","         79.15","         82.50","         77.80","         81.45","         81.30","         80.91","     245040","            19826068.40","       2730","      87308","         35.63"
"63MOONS","EQ","14-Mar-2018","         81.30","         80.40","         86.50","         80.40","         85.00","         85.15","         83.84","     275599","            23105729.65","       3101","     121032","         43.92"
"63MOONS","EQ","15-Mar-2018","         85.15","         85.00","        102.15","         84.55","        101.30","        100.65","         98.49","    3252275","           320323175.95","      21331","     528203","         16.24"
"63MOONS","EQ","16-Mar-2018","        100.65","        100.00","        114.50","         99.95","        108.40","        108.55","        109.68","    3573277","           391917834.80","      37932","     636639","         17.82"
"63MOONS","EQ","19-Mar-2018","        108.55","        110.00","        113.70","        103.00","        103.55","        104.00","        108.10","    1624979","           175664763.80","      20019","     276325","         17.00"
"63MOONS","EQ","20-Mar-2018","        104.00","        101.30","        108.70","        100.65","        102.00","        102.30","        104.15","     754182","            78551690.70","      10317","     151031","         20.03"
"63MOONS","EQ","21-Mar-2018","        102.30","        103.35","        106.00","        102.00","        102.50","        102.80","        104.14","     425479","            44308384.55","       5799","     144720","         34.01"
"63MOONS","EQ","22-Mar-2018","        102.80","        103.35","        104.70","         96.80","         97.40","         97.30","         99.64","     418597","            41710551.00","       6684","     127685","         30.50"
"63MOONS","EQ","23-Mar-2018","         97.30","         93.50","         94.40","         82.00","         91.45","         90.05","         86.86","    3160232","           274511954.00","      32524","     342485","         10.84"
"63MOONS","EQ","26-Mar-2018","         90.05","         90.05","         96.10","         88.60","         89.00","         89.80","         91.46","     661276","            60480580.00","       8911","     157067","         23.75"
"63MOONS","EQ","27-Mar-2018","         89.80","         92.00","         92.60","         90.10","         90.50","         90.60","         90.88","     502754","            45692008.15","       3892","     330188","         65.68"
"63MOONS","EQ","28-Mar-2018","         90.60","         91.00","         91.00","         85.35","         86.85","         86.50","         87.24","     539071","            47026754.05","       3325","     359159","         66.63"
"63MOONS","EQ","02-Apr-2018","         86.50","         90.40","        102.80","         87.05","        100.30","        101.35","         98.00","    1605329","           157316409.40","      18803","     324013","         20.18"
"63MOONS","EQ","03-Apr-2018","        101.35","         99.30","        103.30","         98.00","         99.50","        100.15","        100.40","     756032","            75902495.00","      10402","     160044","         21.17"
"63MOONS","EQ","04-Apr-2018","        100.15","        101.00","        107.00","         99.65","        101.20","        101.05","        103.39","     975603","           100866140.25","      12650","     236153","         24.21"
"63MOONS","EQ","05-Apr-2018","        101.05","         88.00","         99.90","         88.00","         97.00","         97.45","         95.67","    1711018","           163687132.40","      17599","     325744","         19.04"
"63MOONS","EQ","06-Apr-2018","         97.45","         96.35","        100.90","         96.35","         98.15","         98.25","         98.78","     449079","            44359641.90","       5213","     124892","         27.81"
"63MOONS","EQ","09-Apr-2018","         98.25","         99.20","        101.00","         97.80","         98.15","         98.20","         99.09","     243273","            24105367.60","       3170","      97605","         40.12"
"63MOONS","EQ","10-Apr-2018","         98.20","        100.00","        101.50","         96.40","         97.00","         96.95","         97.75","     263184","            25727518.50","       3448","     108423","         41.20"
"63MOONS","EQ","11-Apr-2018","         96.95","         98.00","         98.30","         93.30","         95.30","         95.45","         95.79","     284193","            27221431.95","       3700","      82272","         28.95"
