"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"8KMILES","EQ","01-Jan-2018","        908.05","        908.00","        921.85","        900.00","        904.00","        901.95","        909.56","      74853","            68083540.75","       3336","      25128","         33.57"
"8KMILES","EQ","02-Jan-2018","        901.95","        907.90","        914.00","        871.00","        891.00","        891.20","        894.90","     124664","           111561566.40","       4248","      59681","         47.87"
"8KMILES","EQ","03-Jan-2018","        891.20","        895.35","        904.90","        880.00","        882.05","        884.35","        891.92","     101522","            90549483.90","       4251","      27687","         27.27"
"8KMILES","EQ","04-Jan-2018","        884.35","        885.00","        891.30","        855.00","        866.00","        860.00","        870.11","     105960","            92196979.10","       5247","      55204","         52.10"
"8KMILES","EQ","05-Jan-2018","        860.00","        866.00","        892.00","        860.05","        861.75","        863.05","        873.09","     124516","           108714170.75","       6352","      44838","         36.01"
"8KMILES","EQ","08-Jan-2018","        863.05","        874.00","        878.00","        856.10","        860.85","        859.15","        863.37","      79758","            68860866.40","       3859","      34707","         43.52"
"8KMILES","EQ","09-Jan-2018","        859.15","        865.00","        882.00","        841.60","        849.00","        847.10","        860.65","     129741","           111661958.50","       5812","      47505","         36.62"
"8KMILES","EQ","10-Jan-2018","        847.10","        850.00","        858.05","        842.00","        844.00","        846.25","        848.74","     108427","            92026704.10","       5474","      32958","         30.40"
"8KMILES","EQ","11-Jan-2018","        846.25","        846.80","        886.25","        846.80","        863.00","        864.85","        868.78","     189434","           164576563.80","       6608","      57774","         30.50"
"8KMILES","EQ","12-Jan-2018","        864.85","        867.00","        879.95","        848.00","        856.50","        857.35","        865.31","     130240","           112697520.40","       5796","      41080","         31.54"
"8KMILES","EQ","15-Jan-2018","        857.35","        865.00","        877.10","        852.05","        861.00","        864.00","        864.32","     114665","            99107395.75","       5526","      29321","         25.57"
"8KMILES","EQ","16-Jan-2018","        864.00","        864.00","        869.00","        830.00","        831.00","        833.30","        843.93","      82827","            69900052.75","       3741","      40144","         48.47"
"8KMILES","EQ","17-Jan-2018","        833.30","        833.90","        840.70","        812.00","        814.65","        815.40","        821.19","      79267","            65093121.30","       4827","      32197","         40.62"
"8KMILES","EQ","18-Jan-2018","        815.40","        822.00","        861.00","        817.00","        830.00","        832.30","        843.67","     208636","           176019839.30","       8558","      59119","         28.34"
"8KMILES","EQ","19-Jan-2018","        832.30","        833.55","        847.95","        815.00","        828.10","        826.05","        831.35","      78445","            65215275.20","       3877","      25471","         32.47"
