"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"A2ZINFRA","EQ","01-Jan-2018","         40.75","         41.00","         44.30","         40.70","         42.50","         42.35","         42.81","    5268119","           225525726.25","      14359","    2078105","         39.45"
"A2ZINFRA","EQ","02-Jan-2018","         42.35","         42.75","         45.95","         41.50","         44.50","         44.45","         44.27","    9580501","           424117911.35","      28536","    3078628","         32.13"
"A2ZINFRA","EQ","03-Jan-2018","         44.45","         44.65","         47.60","         43.70","         46.95","         46.95","         46.12","    9176175","           423182617.90","      24221","    3398388","         37.03"
"A2ZINFRA","EQ","04-Jan-2018","         46.95","         47.25","         48.75","         46.15","         46.60","         46.55","         47.48","    5078468","           241125878.65","      14329","    2144281","         42.22"
"A2ZINFRA","EQ","05-Jan-2018","         46.55","         46.85","         47.20","         45.10","         45.25","         45.50","         45.89","    2089931","            95910175.85","       6957","     951566","         45.53"
"A2ZINFRA","EQ","08-Jan-2018","         45.50","         46.00","         46.40","         44.70","         45.15","         45.20","         45.42","    1552963","            70530400.95","       5783","     792495","         51.03"
"A2ZINFRA","EQ","09-Jan-2018","         45.20","         45.40","         45.45","         43.25","         43.80","         43.60","         44.07","    1657538","            73039503.40","       5136","     815957","         49.23"
"A2ZINFRA","EQ","10-Jan-2018","         43.60","         43.75","         45.10","         43.20","         43.50","         43.65","         43.99","    1985529","            87351526.30","       7371","     610616","         30.75"
"A2ZINFRA","EQ","11-Jan-2018","         43.65","         43.45","         45.95","         43.40","         45.10","         44.85","         45.02","    3272521","           147337090.60","      10845","    1194356","         36.50"
"A2ZINFRA","EQ","12-Jan-2018","         44.85","         45.25","         45.50","         42.60","         43.85","         43.90","         44.17","    2071627","            91508453.35","       6499","     865031","         41.76"
"A2ZINFRA","EQ","15-Jan-2018","         43.90","         44.20","         44.70","         43.00","         43.80","         43.50","         43.83","    1772605","            77699528.70","       5605","     799176","         45.08"
"A2ZINFRA","EQ","16-Jan-2018","         43.50","         43.80","         43.90","         40.70","         41.35","         41.35","         41.92","    2415299","           101255784.30","       8027","    1178310","         48.79"
"A2ZINFRA","EQ","17-Jan-2018","         41.35","         41.85","         42.70","         40.75","         41.85","         42.05","         41.82","    2348033","            98203074.90","       7853","     914453","         38.95"
"A2ZINFRA","EQ","18-Jan-2018","         42.05","         42.40","         42.70","         38.30","         39.35","         39.30","         40.11","    2597778","           104187077.45","       7573","    1370668","         52.76"
"A2ZINFRA","EQ","19-Jan-2018","         39.30","         39.50","         40.50","         38.30","         40.00","         40.05","         39.35","    1586122","            62419122.15","       5714","     661552","         41.71"
"A2ZINFRA","EQ","22-Jan-2018","         40.05","         40.50","         41.25","         40.25","         40.95","         40.85","         40.72","    1059686","            43148783.85","       4101","     508715","         48.01"
"A2ZINFRA","EQ","23-Jan-2018","         40.85","         41.00","         41.30","         39.80","         40.10","         40.20","         40.43","    1086380","            43921424.40","       5334","     409821","         37.72"
"A2ZINFRA","EQ","24-Jan-2018","         40.20","         39.75","         40.70","         38.75","         39.10","         39.05","         39.29","    1237167","            48609380.40","       4405","     628607","         50.81"
"A2ZINFRA","EQ","25-Jan-2018","         39.05","         39.00","         39.85","         38.60","         39.35","         39.10","         39.06","     884403","            34542028.55","       3796","     316005","         35.73"
"A2ZINFRA","EQ","29-Jan-2018","         39.10","         39.15","         39.80","         38.50","         38.65","         38.70","         39.14","    1026600","            40176244.95","       3382","     572752","         55.79"
"A2ZINFRA","EQ","30-Jan-2018","         38.70","         38.50","         38.60","         37.50","         37.80","         37.65","         37.88","     907930","            34396428.75","       3485","     480785","         52.95"
"A2ZINFRA","EQ","31-Jan-2018","         37.65","         37.40","         38.65","         37.25","         37.95","         37.95","         38.01","     719735","            27357584.75","       3303","     338397","         47.02"
"A2ZINFRA","EQ","01-Feb-2018","         37.95","         38.10","         38.65","         37.30","         37.50","         37.50","         38.02","     896717","            34089625.45","       3882","     339122","         37.82"
"A2ZINFRA","EQ","02-Feb-2018","         37.50","         37.05","         37.30","         34.05","         35.60","         35.30","         35.61","    1920940","            68408802.20","       5809","     850522","         44.28"
"A2ZINFRA","EQ","05-Feb-2018","         35.30","         34.00","         35.25","         33.00","         34.90","         34.90","         34.47","    1557520","            53684945.00","       5439","     747125","         47.97"
"A2ZINFRA","EQ","06-Feb-2018","         34.90","         32.05","         33.75","         31.25","         33.30","         33.35","         32.91","    1366490","            44972833.60","       4380","     567485","         41.53"
"A2ZINFRA","EQ","07-Feb-2018","         33.35","         33.95","         34.70","         33.75","         34.05","         34.15","         34.22","     837275","            28652670.10","       3986","     311202","         37.17"
"A2ZINFRA","EQ","08-Feb-2018","         34.15","         34.50","         35.90","         34.30","         35.25","         35.25","         35.29","     805471","            28428582.80","       4001","     303530","         37.68"
"A2ZINFRA","EQ","09-Feb-2018","         35.25","         34.00","         35.80","         33.80","         35.40","         35.40","         34.95","     718513","            25111690.60","       3705","     247683","         34.47"
"A2ZINFRA","EQ","12-Feb-2018","         35.40","         35.70","         36.70","         35.65","         36.40","         36.25","         36.29","     948722","            34431702.15","       3393","     530104","         55.88"
"A2ZINFRA","EQ","14-Feb-2018","         36.25","         36.60","         37.65","         35.25","         35.50","         35.65","         36.69","    1357835","            49820059.15","       5392","     674556","         49.68"
"A2ZINFRA","EQ","15-Feb-2018","         35.65","         35.85","         36.20","         33.75","         34.00","         34.05","         34.82","     916680","            31922389.30","       3348","     605835","         66.09"
"A2ZINFRA","EQ","16-Feb-2018","         34.05","         34.25","         34.80","         32.45","         32.90","         32.75","         33.11","    1286020","            42578320.75","       4256","     832412","         64.73"
"A2ZINFRA","EQ","19-Feb-2018","         32.75","         32.95","         34.15","         32.60","         33.30","         33.30","         33.29","     698798","            23260471.90","       2999","     264504","         37.85"
"A2ZINFRA","EQ","20-Feb-2018","         33.30","         33.40","         33.95","         32.80","         33.40","         33.45","         33.52","     677598","            22709892.80","       2380","     245462","         36.23"
"A2ZINFRA","EQ","21-Feb-2018","         33.45","         33.65","         33.95","         32.85","         33.05","         33.10","         33.32","     416615","            13880465.05","       1921","     165148","         39.64"
"A2ZINFRA","EQ","22-Feb-2018","         33.10","         32.85","         33.30","         32.60","         33.15","         33.00","         32.97","     435683","            14365686.40","       1849","     176587","         40.53"
"A2ZINFRA","EQ","23-Feb-2018","         33.00","         33.15","         34.25","         33.00","         33.80","         33.80","         33.75","     735216","            24814975.05","       2589","     408225","         55.52"
"A2ZINFRA","EQ","26-Feb-2018","         33.80","         34.80","         35.40","         34.25","         34.85","         34.70","         34.82","    1569272","            54649728.70","       8470","     488554","         31.13"
"A2ZINFRA","EQ","27-Feb-2018","         34.70","         35.20","         35.35","         34.40","         35.05","         35.00","         34.83","    1069401","            37248702.35","       4739","     299589","         28.01"
"A2ZINFRA","EQ","28-Feb-2018","         35.00","         34.55","         35.40","         34.20","         35.35","         35.00","         34.73","     649003","            22541363.90","       1998","     315029","         48.54"
"A2ZINFRA","EQ","01-Mar-2018","         35.00","         34.85","         35.65","         34.85","         35.00","         35.15","         35.24","     719276","            25344074.55","       2498","     409076","         56.87"
"A2ZINFRA","EQ","05-Mar-2018","         35.15","         34.55","         34.80","         33.80","         34.00","         33.95","         34.16","     465250","            15891573.50","       1551","     270277","         58.09"
"A2ZINFRA","EQ","06-Mar-2018","         33.95","         34.15","         34.45","         32.50","         32.55","         32.75","         33.34","     424597","            14155327.15","       1868","     243236","         57.29"
"A2ZINFRA","EQ","07-Mar-2018","         32.75","         32.45","         32.50","         31.00","         31.15","         31.15","         31.70","     756031","            23968466.25","       3583","     418506","         55.36"
"A2ZINFRA","EQ","08-Mar-2018","         31.15","         31.45","         32.00","         29.15","         30.60","         30.65","         30.36","    1093794","            33205648.75","       4358","     498876","         45.61"
"A2ZINFRA","EQ","09-Mar-2018","         30.65","         30.85","         31.30","         29.75","         29.95","         29.95","         30.50","     444801","            13567164.65","       2274","     227784","         51.21"
"A2ZINFRA","EQ","12-Mar-2018","         29.95","         30.35","         30.35","         29.40","         30.15","         30.05","         29.91","     609726","            18238479.75","       1864","     351830","         57.70"
"A2ZINFRA","EQ","13-Mar-2018","         30.05","         29.95","         30.75","         29.65","         29.95","         29.95","         30.31","    1566035","            47472827.25","       2432","    1140698","         72.84"
"A2ZINFRA","EQ","14-Mar-2018","         29.95","         29.75","         30.70","         29.55","         30.65","         30.35","         30.08","    1031242","            31015231.40","       2330","     652385","         63.26"
"A2ZINFRA","EQ","15-Mar-2018","         30.35","         30.35","         31.40","         30.35","         31.20","         31.15","         30.95","     939710","            29080363.75","       2840","     451895","         48.09"
"A2ZINFRA","EQ","16-Mar-2018","         31.15","         31.10","         32.10","         30.35","         30.95","         30.75","         31.35","     957733","            30023319.45","       2937","     471775","         49.26"
"A2ZINFRA","EQ","19-Mar-2018","         30.75","         31.00","         31.00","         29.30","         29.60","         29.50","         29.80","    1007878","            30030252.60","       2265","     706019","         70.05"
"A2ZINFRA","EQ","20-Mar-2018","         29.50","         29.30","         29.95","         28.75","         29.10","         29.20","         29.38","    1383737","            40658161.80","       1798","    1085671","         78.46"
"A2ZINFRA","EQ","21-Mar-2018","         29.20","         29.35","         29.80","         28.55","         28.60","         28.75","         29.14","     688716","            20070773.00","       1827","     450467","         65.41"
"A2ZINFRA","EQ","22-Mar-2018","         28.75","         28.70","         28.75","         26.85","         27.00","         27.20","         27.58","    1114813","            30751215.70","       3004","     742592","         66.61"
"A2ZINFRA","EQ","23-Mar-2018","         27.20","         26.05","         27.00","         25.15","         26.70","         26.45","         26.31","    1143963","            30094375.00","       3316","     703755","         61.52"
"A2ZINFRA","EQ","26-Mar-2018","         26.45","         26.65","         26.70","         25.50","         25.50","         25.85","         26.02","    1422603","            37011385.55","       2494","    1060318","         74.53"
"A2ZINFRA","EQ","27-Mar-2018","         25.85","         26.20","         28.00","         26.20","         27.50","         27.60","         27.28","    1062054","            28971258.10","       2743","     677858","         63.83"
"A2ZINFRA","EQ","28-Mar-2018","         27.60","         26.80","         27.40","         26.20","         26.35","         26.40","         26.86","     940986","            25278593.15","       1842","     645671","         68.62"
"A2ZINFRA","EQ","02-Apr-2018","         26.40","         26.80","         28.05","         26.80","         28.00","         27.95","         27.49","     512872","            14098309.00","       1442","     319320","         62.26"
"A2ZINFRA","EQ","03-Apr-2018","         27.95","         27.85","         29.20","         27.45","         28.80","         28.85","         28.28","     861004","            24350918.15","       2707","     356642","         41.42"
"A2ZINFRA","EQ","04-Apr-2018","         28.85","         28.85","         29.40","         27.25","         28.40","         27.90","         28.38","     963860","            27350404.00","       3425","     418485","         43.42"
"A2ZINFRA","EQ","05-Apr-2018","         27.90","         29.00","         29.35","         28.50","         28.70","         28.75","         28.78","     594444","            17108913.90","       2056","     317480","         53.41"
"A2ZINFRA","EQ","06-Apr-2018","         28.75","         28.75","         29.55","         28.45","         28.90","         29.00","         29.09","     578086","            16818940.65","       2112","     267262","         46.23"
"A2ZINFRA","EQ","09-Apr-2018","         29.00","         29.25","         29.80","         28.85","         29.35","         29.55","         29.36","     495890","            14558978.45","       2009","     255503","         51.52"
"A2ZINFRA","EQ","10-Apr-2018","         29.55","         29.80","         29.80","         28.60","         28.85","         28.80","         29.04","     384431","            11164943.75","       1914","     178452","         46.42"
"A2ZINFRA","EQ","11-Apr-2018","         28.80","         28.80","         29.15","         28.40","         28.45","         28.55","         28.68","     360065","            10328236.80","       1643","     167428","         46.50"
"A2ZINFRA","EQ","12-Apr-2018","         28.55","         28.50","         28.75","         28.05","         28.20","         28.15","         28.35","     329139","             9331455.35","       1450","     169752","         51.57"
"A2ZINFRA","EQ","13-Apr-2018","         28.15","         28.35","         30.05","         27.50","         29.25","         29.20","         28.99","    1117120","            32390734.25","       3589","     469524","         42.03"
"A2ZINFRA","EQ","16-Apr-2018","         29.20","         28.80","         29.65","         28.45","         29.25","         29.10","         28.99","     420194","            12180732.95","       2116","     137146","         32.64"
"A2ZINFRA","EQ","17-Apr-2018","         29.10","         29.30","         29.40","         28.65","         28.90","         28.90","         29.01","     317865","             9219731.15","       1014","     146496","         46.09"
"A2ZINFRA","EQ","18-Apr-2018","         28.90","         29.00","         29.00","         28.20","         28.35","         28.35","         28.59","     418990","            11977820.00","       1861","     215249","         51.37"
"A2ZINFRA","EQ","19-Apr-2018","         28.35","         28.45","         29.35","         28.25","         28.40","         28.50","         28.69","     417618","            11980298.10","       2179","     150922","         36.14"
"A2ZINFRA","EQ","20-Apr-2018","         28.50","         28.30","         28.45","         27.60","         27.80","         27.80","         27.94","     336381","             9397964.10","       1230","     182445","         54.24"
"A2ZINFRA","EQ","23-Apr-2018","         27.80","         28.00","         28.15","         27.70","         27.80","         27.75","         27.92","     260645","             7276513.45","       1277","     141833","         54.42"
"A2ZINFRA","EQ","24-Apr-2018","         27.75","         28.00","         28.80","         27.60","         27.60","         27.75","         28.01","     469583","            13152740.45","       1845","     233620","         49.75"
"A2ZINFRA","EQ","25-Apr-2018","         27.75","         27.65","         27.90","         27.00","         27.00","         27.10","         27.36","     379357","            10380126.70","       1262","     211736","         55.81"
"A2ZINFRA","EQ","26-Apr-2018","         27.10","         27.25","         27.60","         26.75","         27.50","         27.50","         27.18","     431499","            11729435.80","       1064","     280829","         65.08"
